identificacion;nombre;apellido1;apellido2;tipo_documento;numero_celular;correo;billetera;facultad;programa;sem;nota_pga;codigopwc;creditos_planAc;total_creditos_apro;creditos_periodo;creditos_apro_periodo;sanciones
237797862;Fernando;Petro;Acuña;CC;300 608 2916;brayanjiru14@gmail.com;;Facultad Ciencias Básicas;Física;5;4.7;000-279-569;242;163;16;16;2
281951823;Duvan;Mozo;Berrio;CC;311 169 2628;brayanjiru14@gmail.com;;Facultad Ciencias Básicas;Geografía;7;5.0;000-524-447;209;169;21;21;0
998679014;Andrea;Gonzales;Santos;CC;322 177 2703;brayanjiru14@gmail.com;;Facultad Ciencias Básicas;Física;2;3.8;000-751-166;145;59;16;16;0
527199572;Luz;Carvajal;Cordero;TI;314 155 2522;brayanjiru14@gmail.com;;Facultad de Medicina Veterinaria y Zootecnia;Medicina Veterinaria y Zootecnia;7;4.1;000-648-359;150;76;20;10;0
967794828;Teofilo;Sierra;Padilla;CC;314 401 3969;brayanjiru14@gmail.com;;Facultad Ciencias Básicas;Química;4;4.2;000-531-363;126;95;18;10;1
337716766;Orlando;Gomez;Mendoza;CC;321 620 5042;brayanjiru14@gmail.com;;Facultad de Educación y Ciencias Humanas;Informática;5;3.6;000-504-967;264;182;20;10;0
118460953;Gustavo;Padilla;Fabra;CC;311 865 3723;brayanjiru14@gmail.com;;Facultad Ciencias Básicas;Geografía;6;4.3;000-104-858;230;157;15;15;0
687164961;Alberto;Vega;Sierra;CC;315 255 1587;brayanjiru14@gmail.com;;Facultad de Ciencias Agrícolas;Ingenierpía Agronómica;3;3.0;000-947-526;120;88;21;21;0
725825033;Mariana;Pineda;Pineda;TI;311 757 8495;brayanjiru14@gmail.com;;Facultad Ciencias de la Salud;Administración en Salud;1;3.3;000-993-353;179;116;21;21;0
127558157;Elian;Otero;Otero;CC;321 892 3479;brayanjiru14@gmail.com;;Facultad de Medicina Veterinaria y Zootecnia;Medicina Veterinaria y Zootecnia;4;3.4;000-660-840;219;67;20;20;0
734112199;Juliana;Alvarez;Santos;CC;314 408 4454;brayanjiru14@gmail.com;;Facultad Ciencias Económicas, jurídicas y Administrativas;Administración en Finanzas y Negocios Internacionales;10;3.5;000-744-833;279;137;20;20;0
851319843;Jose;Hoyos;Cortez;CC;301 935 1596;brayanjiru14@gmail.com;;Facultad Ciencias Económicas, jurídicas y Administrativas;Derecho;3;3.9;000-122-546;248;56;19;19;0
601280874;Daniel;Vega;Dueñas;CC;303 770 3933;brayanjiru14@gmail.com;;Facultad Ciencias Básicas;Física;7;3.5;000-828-185;232;213;19;9;2
